scene_id,chapter_id,avg_dialogue_score_percent
1,-1,0.00
2,1,100.00
3,1,100.00
4,1,12.50
5,1,16.71
6,1,100.00
7,1,10.23
8,1,100.00
9,1,100.00
10,1,100.00
11,1,39.96
12,1,18.45
13,1,100.00
14,1,20.26
15,1,100.00
16,1,100.00
17,1,100.00
18,1,100.00
19,1,42.22
20,1,22.53
21,1,36.36
22,1,100.00
23,1,100.00
24,1,100.00
25,1,100.00
26,-1,0.00
27,-1,0.00
28,1,12.73
29,1,42.04
30,1,51.19
31,1,100.00
32,1,100.00
33,1,100.00
34,1,22.01
35,1,100.00
36,1,100.00
37,1,43.37
38,1,31.88
39,1,55.84
40,1,34.52
41,-1,0.00
42,1,100.00
43,1,100.00
44,-1,0.00
45,-1,0.00
46,1,19.40
47,1,61.11
48,1,100.00
49,1,23.26
50,-1,0.00
51,-1,0.00
52,1,27.08
53,1,13.16
54,1,100.00
55,1,15.95
56,1,54.79
57,1,100.00
58,1,25.40
59,1,37.50
60,1,100.00
61,1,100.00
62,1,18.75
63,1,100.00
64,1,100.00
65,1,32.35
66,1,0.00
67,1,3.75
68,1,100.00
69,-1,0.00
70,1,100.00
71,1,39.65
72,1,9.92
73,1,100.00
74,1,100.00
75,1,24.14
76,1,20.37
77,1,20.53
78,1,30.63
79,1,100.00
80,1,100.00
81,1,100.00
82,1,100.00
83,1,28.12
84,-1,0.00
85,1,100.00
86,-1,0.00
87,1,100.00
88,1,11.88
89,1,12.39
90,1,72.04
91,1,100.00
92,1,62.19
93,1,14.06
94,1,52.18
95,1,9.36
96,1,18.52
97,1,27.27
98,1,13.69
99,1,100.00
100,1,100.00
101,-1,0.00
102,-1,0.00
103,-1,0.00
104,1,100.00
105,1,26.67
106,1,100.00
107,1,100.00
108,1,9.17
109,1,43.51
110,1,100.00
111,1,100.00
112,1,100.00
113,1,100.00
114,1,23.77
115,1,100.00
116,1,19.46
117,1,14.94
118,1,100.00
119,1,23.02
120,1,100.00
121,1,100.00
122,1,100.00
123,1,100.00
124,1,22.73
125,-1,0.00
126,1,100.00
127,1,75.00
128,1,100.00
129,1,100.00
130,1,100.00
131,1,16.93
132,1,37.77
133,1,100.00
134,1,100.00
135,1,62.25
136,1,100.00
137,1,21.47
138,1,100.00
139,1,100.00
140,1,100.00
141,1,10.87
142,1,100.00
143,1,100.00
144,1,100.00
145,1,100.00
146,1,100.00
147,1,100.00
148,1,100.00
149,1,30.24
150,-1,0.00
151,1,100.00
152,1,100.00
153,1,46.15
154,1,20.46
155,1,15.51
156,1,100.00
157,1,10.35
158,1,100.00
159,1,26.36
160,1,15.65
161,1,48.12
162,1,100.00
163,1,51.43
164,1,100.00
165,1,16.67
166,1,16.71
167,1,33.93
168,1,100.00
169,1,100.00
170,1,21.43
171,1,44.44
172,1,34.40
173,1,28.23
174,1,100.00
175,1,83.33
176,1,75.99
177,1,100.00
178,1,100.00
179,1,100.00
180,1,100.00
181,1,22.40
182,1,37.82
183,1,16.97
184,1,32.46
185,1,100.00
186,1,52.27
187,1,100.00
188,1,100.00
189,1,18.22
190,1,16.98
191,1,100.00
192,1,50.25
193,1,39.47
194,-1,0.00
195,1,27.42
196,1,16.97
197,1,100.00
198,1,100.00
199,1,54.92
200,1,100.00
201,1,54.57
202,1,21.67
203,1,100.00
204,1,5.04
205,1,100.00
206,1,100.00
207,1,100.00
208,1,2.94
209,1,63.58
210,1,18.52
211,1,100.00
212,1,25.66
213,1,25.00
214,1,42.26
215,1,85.56
216,1,100.00
217,1,100.00
218,1,15.77
219,1,10.67
220,-1,0.00
221,1,100.00
222,1,37.29
223,1,38.63
224,1,24.48
225,1,57.14
226,1,100.00
227,1,23.99
228,1,100.00
229,1,100.00
230,1,100.00
231,1,100.00
232,1,100.00
233,1,42.28
234,1,49.42
235,1,0.00
236,1,42.21
237,1,39.55
238,1,12.17
239,1,25.81
240,1,20.00
241,1,100.00
242,1,13.82
243,1,100.00
244,1,91.67
245,1,46.15
246,1,100.00
247,1,100.00
248,1,40.42
249,1,100.00
250,1,100.00
251,1,17.39
252,1,100.00
253,1,26.19
254,1,25.00
255,-1,0.00
256,1,100.00
257,1,15.22
258,1,100.00
259,1,100.00
260,1,14.29
261,1,70.00
262,1,100.00
263,-1,0.00
264,1,100.00
265,1,100.00
266,1,38.33
267,1,23.96
268,1,100.00
269,1,32.27
270,1,22.58
271,1,35.98
272,1,100.00
273,1,47.19
274,1,16.67
275,1,22.67
276,1,20.72
277,1,100.00
278,1,8.70
279,1,16.90
280,1,100.00
281,1,100.00
282,1,13.75
283,1,23.06
284,1,28.35
285,1,100.00
286,1,45.92
287,1,100.00
288,1,100.00
289,1,19.41
290,1,5.81
291,1,46.46
292,1,13.33
293,1,100.00
294,1,18.59
295,1,100.00
296,1,30.00
297,1,100.00
298,1,100.00
299,1,0.00
300,1,100.00
301,1,100.00
302,1,18.18
303,1,26.92
304,1,100.00
305,1,12.38
306,1,100.00
307,1,57.14
308,1,100.00
309,1,14.84
310,1,100.00
311,1,8.24
312,1,100.00
313,1,100.00
314,1,100.00
315,-1,0.00
316,1,14.44
317,1,100.00
318,1,100.00
319,1,10.23
320,1,22.43
321,1,100.00
322,1,5.88
323,1,31.58
324,1,100.00
325,1,100.00
326,1,100.00
327,1,100.00
328,1,10.63
329,1,13.64
330,1,100.00
331,1,100.00
332,1,100.00
333,1,100.00
334,-1,0.00
335,1,100.00
336,-1,0.00
337,1,100.00
338,1,10.64
339,1,100.00
340,-1,0.00
341,1,100.00
342,1,44.44
343,1,32.87
344,1,59.62
345,1,49.88
346,1,78.19
347,1,100.00
348,1,66.67
349,1,46.19
350,1,100.00
351,1,50.00
352,1,100.00
353,1,100.00
354,1,56.49
355,1,100.00
356,1,100.00
357,1,73.68
358,1,100.00
359,1,3.17
360,1,100.00
361,1,100.00
362,1,19.61
363,1,100.00
364,1,100.00
365,1,10.23
366,1,100.00
367,1,19.41
368,1,38.22
369,1,39.93
370,1,10.42
371,1,35.62
372,1,17.07
373,1,60.53
374,1,23.68
375,1,16.00
376,1,100.00
377,1,100.00
378,-1,0.00
379,1,50.00
380,1,100.00
381,1,100.00
382,1,100.00
383,1,47.29
384,1,9.41
385,1,29.29
386,-1,0.00
387,1,40.00
388,1,100.00
389,1,100.00
390,1,100.00
391,1,100.00
392,1,100.00
393,1,100.00
394,1,100.00
395,1,16.13
396,1,22.22
397,1,10.75
398,1,18.85
399,1,55.66
400,1,59.58
401,1,100.00
402,1,100.00
403,1,100.00
404,1,10.71
405,1,100.00
406,1,64.81
407,1,21.68
408,1,100.00
409,1,100.00
410,1,100.00
411,1,100.00
412,1,100.00
413,1,39.97
414,1,100.00
415,1,7.88
416,1,100.00
417,1,100.00
418,1,0.00
419,-1,0.00
420,-1,0.00
421,1,100.00
422,1,100.00
423,1,100.00
424,1,100.00
425,1,100.00
426,-1,0.00
427,-1,0.00
